Base Part,Base Part Number,Base Style,Base Style Name,Category,Collection,Color,Date,Delivery Date,Delivery Month,Delivery Month ,Delivery Season,Delivery Season ,Family,Garment Type,Gender,Gender/Stature/Type,Global,Item Code,Macro Area,Master Style,Micro Area,Month,Product Category,Product Family,Product Gender,Product Sub-Family,Region,Region ,Reorder Type,Sales Area,Sales Area ,Style,Style Code,Style Code ,Style Description,Style Description ,Sub-Family,Year,Cost,Dnet,Margin $,Measure for Rank,MSRP,Order $ (U.S. Cost),Order $ (U.S. Dealer Net),Order $ (U.S. MSRP),Order $ (USD),Order Quantity,Style Count,Sum of Extra Quantity (Units),Sum of Quantity (Units)
95335-22VM,95335-22VM,MWS 1358758,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-08-30,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,95335-22VM/222,APAC,95335-22,,8,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95335-22VM,95335-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,13.68,33.95,81.08,135,67.9,54.72,135.8,271.6,135.8,4,1,0,4
91945-22VM,91945-22VM,MWS 1189867,MWS Random,Sportswear,Seasonal,Green,2021-07-27,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,91945-22VM/222,EMEA,91945-22,,7,Sportswear,Tops Woven,Men's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,91945-22VM,91945-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,14.56,30.86,65.2,161,61.72,58.24,123.44,246.88,123.44,4,1,4,4
96930-22VM,96930-22VM,MWS 1934902,MWS Random,Sportswear,Seasonal,Blue,2021-12-18,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96930-22VM/222,APAC,96930-22,,12,Sportswear,Tops Woven,Men's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,96930-22VM,96930-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,20.92,45.82,224.1,484,91.64,188.28,412.38,824.76,412.38,9,1,4,9
98201-22VM,98201-22VM,MWS 1346319,MWS Random,Sportswear,Core,Red,2021-11-18,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98201-22VM/218,North America,98201-22,,11,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98201-22VM,98201-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,22.39,60.67,727.32,272,121.34,425.41,1152.73,2305.46,1152.73,19,1,3,19
90873-22VM,90873-22VM,MWS 1859338,MWS Random,Sportswear,Seasonal,Black,2021-10-18,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,90873-22VM/183,EMEA,90873-22,,10,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,90873-22VM,90873-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,26.38,53.64,163.56,237,107.28,158.28,321.84,643.68,321.84,6,1,4,6
92979-22VM,92979-22VM,MWS 1306090,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-06-25,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92979-22VM/585,EMEA,92979-22,,6,Sportswear,Tops Woven,Unisex,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,92979-22VM,92979-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,19.34,41.95,339.15,470,83.9,290.1,629.25,1258.5,629.25,15,1,3,15
96924-22VM,96924-22VM,MWS 1512642,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-01-07,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,96924-22VM/375,North America,96924-22,,1,Sportswear,Tops Woven,Unisex,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96924-22VM,96924-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,13.93,41.49,192.92,252,82.98,97.51,290.43,580.86,290.43,7,1,0,7
94609-22VM,94609-22VM,MWS 1141622,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-04-30,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,94609-22VM/048,EMEA,94609-22,,4,Sportswear,Tops Woven,Unisex,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94609-22VM,94609-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,28.81,76.17,805.12,149,152.34,489.77,1294.89,2589.78,1294.89,17,1,5,17
97809-22VM,97809-22VM,MWS 1845083,MWS Random,Sportswear,Core,Red,2021-08-04,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,97809-22VM/850,APAC,97809-22,,8,Sportswear,Tops Woven,Women's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,97809-22VM,97809-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,21.17,43.4,222.3,116,86.8,211.7,434.0,868.0,434.0,10,1,3,10
94703-22VM,94703-22VM,MWS 1630668,MWS Random,Sportswear,Seasonal,Red,2021-04-21,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94703-22VM/745,North America,94703-22,,4,Sportswear,Tops Woven,Men's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94703-22VM,94703-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,20.47,44.63,362.4,294,89.26,307.05,669.45,1338.9,669.45,15,1,5,15
95390-22VM,95390-22VM,MWS 1921450,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Blue,2021-06-09,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,95390-22VM/403,North America,95390-22,,6,Sportswear,Tops Woven,Unisex,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,95390-22VM,95390-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,16.76,46.69,299.3,250,93.38,167.6,466.9,933.8,466.9,10,1,5,10
98115-22VM,98115-22VM,MWS 1464580,MWS Random,Sportswear,Seasonal,Green,2021-02-21,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98115-22VM/634,North America,98115-22,,2,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,98115-22VM,98115-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,22.22,48.44,471.96,176,96.88,399.96,871.92,1743.84,871.92,18,1,1,18
92855-22VM,92855-22VM,MWS 1192326,MWS Random,Sportswear,Core,Blue,2021-06-21,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92855-22VM/599,APAC,92855-22,,6,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,92855-22VM,92855-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,10.85,29.95,19.1,333,59.9,10.85,29.95,59.9,29.95,1,1,5,1
97265-22VM,97265-22VM,MWS 1455462,MWS Random,Sportswear,Core,Black,2021-08-24,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,97265-22VM/633,North America,97265-22,,8,Sportswear,Tops Woven,Men's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,97265-22VM,97265-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,12.14,35.19,299.65,447,70.38,157.82,457.47,914.94,457.47,13,1,3,13
99784-22VM,99784-22VM,MWS 1519521,MWS Random,Sportswear,Seasonal,Red,2021-04-25,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99784-22VM/021,North America,99784-22,,4,Sportswear,Tops Woven,Women's,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99784-22VM,99784-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,24.49,50.73,236.16,331,101.46,220.41,456.57,913.14,456.57,9,1,2,9
99348-22VM,99348-22VM,MWS 1837871,MWS Random,Sportswear,Seasonal,Black,2021-06-17,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99348-22VM/311,North America,99348-22,,6,Sportswear,Tops Woven,Women's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99348-22VM,99348-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,17.18,37.21,120.18,188,74.42,103.08,223.26,446.52,223.26,6,1,1,6
99794-22VM,99794-22VM,MWS 1667962,MWS Random,Sportswear,Core,Black,2021-01-07,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99794-22VM/337,North America,99794-22,,1,Sportswear,Tops Woven,Women's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99794-22VM,99794-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,28.22,70.68,636.9,123,141.36,423.3,1060.2,2120.4,1060.2,15,1,3,15
98066-22VM,98066-22VM,MWS 1515199,MWS Random,Sportswear,Seasonal,Red,2021-03-21,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98066-22VM/799,EMEA,98066-22,,3,Sportswear,Tops Woven,Men's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,98066-22VM,98066-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,13.44,36.27,114.15,213,72.54,67.2,181.35,362.7,181.35,5,1,1,5
96116-22VM,96116-22VM,MWS 1086365,MWS Random,Sportswear,Seasonal,Grey,2021-02-03,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,96116-22VM/523,EMEA,96116-22,,2,Sportswear,Tops Woven,Women's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96116-22VM,96116-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,28.11,63.73,605.54,303,127.46,477.87,1083.41,2166.82,1083.41,17,1,4,17
98262-22VM,98262-22VM,MWS 1631327,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-05-10,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98262-22VM/850,North America,98262-22,,5,Sportswear,Tops Woven,Men's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98262-22VM,98262-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,28.8,74.16,861.84,264,148.32,547.2,1409.04,2818.08,1409.04,19,1,0,19
97284-22VM,97284-22VM,MWS 1408962,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-11-26,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,97284-22VM/115,APAC,97284-22,,11,Sportswear,Tops Woven,Men's,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,97284-22VM,97284-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,22.06,48.47,52.82,310,96.94,44.12,96.94,193.88,96.94,2,1,1,2
92840-22VM,92840-22VM,MWS 1194345,MWS Random,Sportswear,Core,Black,2021-11-04,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92840-22VM/601,EMEA,92840-22,,11,Sportswear,Tops Woven,Unisex,Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,92840-22VM,92840-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,11.9,33.1,84.8,234,66.2,47.6,132.4,264.8,132.4,4,1,3,4
94332-22VM,94332-22VM,MWS 1010021,MWS Random,Sportswear,Core,Blue,2021-01-07,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94332-22VM/934,APAC,94332-22,,1,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,94332-22VM,94332-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,18.22,36.58,110.16,429,73.16,109.32,219.48,438.96,219.48,6,1,2,6
95380-22VM,95380-22VM,MWS 1821889,MWS Random,Sportswear,Core,Black,2021-05-16,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,95380-22VM/469,EMEA,95380-22,,5,Sportswear,Tops Woven,Men's,Jacket,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,95380-22VM,95380-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,10.2,21.22,55.1,449,42.44,51.0,106.1,212.2,106.1,5,1,0,5
91888-22VM,91888-22VM,MWS 1213558,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-11-28,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,91888-22VM/425,North America,91888-22,,11,Sportswear,Tops Woven,Unisex,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,91888-22VM,91888-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,23.9,55.99,481.35,281,111.98,358.5,839.85,1679.7,839.85,15,1,1,15
93926-22VM,93926-22VM,MWS 1334503,MWS Random,Sportswear,Seasonal,Red,2021-01-04,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93926-22VM/523,APAC,93926-22,,1,Sportswear,Tops Woven,Women's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,93926-22VM,93926-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,22.5,59.68,706.42,181,119.36,427.5,1133.92,2267.84,1133.92,19,1,0,19
93961-22VM,93961-22VM,MWS 1729096,MWS Random,Sportswear,Seasonal,Green,2021-06-01,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93961-22VM/103,North America,93961-22,,6,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93961-22VM,93961-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,10.18,24.88,279.3,121,49.76,193.42,472.72,945.44,472.72,19,1,4,19
92390-22VM,92390-22VM,MWS 1059546,MWS Random,Sportswear,Seasonal,Black,2021-01-22,Jan,21 01,21 01,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92390-22VM/019,North America,92390-22,,1,Sportswear,Tops Woven,Unisex,Jacket,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,92390-22VM,92390-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,11.38,28.11,284.41,277,56.22,193.46,477.87,955.74,477.87,17,1,0,17
94774-22VM,94774-22VM,MWS 1856233,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-06-01,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,94774-22VM/667,APAC,94774-22,,6,Sportswear,Tops Woven,Unisex,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94774-22VM,94774-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,24.26,63.68,354.78,342,127.36,218.34,573.12,1146.24,573.12,9,1,3,9
98301-22VM,98301-22VM,MWS 1491395,MWS Random,Sportswear,Seasonal,Red,2021-07-17,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98301-22VM/396,EMEA,98301-22,,7,Sportswear,Tops Woven,Men's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98301-22VM,98301-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,21.63,53.54,127.64,449,107.08,86.52,214.16,428.32,214.16,4,1,1,4
93683-22VM,93683-22VM,MWS 1994669,MWS Random,Sportswear,Core,Blue,2021-03-25,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93683-22VM/938,North America,93683-22,,3,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93683-22VM,93683-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,15.66,35.47,316.96,358,70.94,250.56,567.52,1135.04,567.52,16,1,4,16
95580-22VM,95580-22VM,MWS 1279907,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Grey,2021-05-30,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,95580-22VM/186,North America,95580-22,,5,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95580-22VM,95580-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,15.29,31.64,32.7,212,63.28,30.58,63.28,126.56,63.28,2,1,5,2
92807-22VM,92807-22VM,MWS 1985684,MWS Random,Sportswear,Seasonal,Grey,2021-11-23,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92807-22VM/351,APAC,92807-22,,11,Sportswear,Tops Woven,Unisex,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,92807-22VM,92807-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,14.26,38.21,71.85,173,76.42,42.78,114.63,229.26,114.63,3,1,5,3
92013-22VM,92013-22VM,MWS 1088828,MWS Random,Sportswear,Seasonal,Blue,2021-10-09,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,92013-22VM/462,APAC,92013-22,,10,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,92013-22VM,92013-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,13.36,35.4,110.2,435,70.8,66.8,177.0,354.0,177.0,5,1,1,5
90021-22VM,90021-22VM,MWS 1769280,MWS Random,Sportswear,Seasonal,Black,2021-04-21,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90021-22VM/494,North America,90021-22,,4,Sportswear,Tops Woven,Unisex,Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,90021-22VM,90021-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,21.17,63.24,588.98,357,126.48,296.38,885.36,1770.72,885.36,14,1,0,14
99806-22VM,99806-22VM,MWS 1711536,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Black,2021-10-04,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99806-22VM/629,APAC,99806-22,,10,Sportswear,Tops Woven,Women's,Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99806-22VM,99806-22VM,Mechanic Shirt,Mechanic Shirt,Shirt,2021,22.68,58.16,212.88,108,116.32,136.08,348.96,697.92,348.96,6,1,4,6
92026-22VM,92026-22VM,MWS 1035091,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-11-28,Nov,21 11,21 11,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,92026-22VM/328,EMEA,92026-22,,11,Sportswear,Tops Woven,Unisex,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,92026-22VM,92026-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,18.25,45.17,269.2,447,90.34,182.5,451.7,903.4,451.7,10,1,4,10
99160-22VM,99160-22VM,MWS 1655132,MWS Random,Sportswear,Seasonal,Red,2021-07-12,Jul,21 07,21 07,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99160-22VM/833,EMEA,99160-22,,7,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,99160-22VM,99160-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,23.49,67.87,887.6,457,135.74,469.8,1357.4,2714.8,1357.4,20,1,4,20
94096-22VM,94096-22VM,MWS 1471448,MWS Random,Sportswear,Core,Blue,2021-12-11,Dec,21 12,21 12,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,94096-22VM/764,North America,94096-22,,12,Sportswear,Tops Woven,Men's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,94096-22VM,94096-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,28.78,74.78,828.0,466,149.56,518.04,1346.04,2692.08,1346.04,18,1,2,18
94549-22VM,94549-22VM,MWS 1608878,MWS Random,Sportswear,Core,Grey,2021-03-21,Mar,21 03,21 03,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,94549-22VM/178,EMEA,94549-22,,3,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,94549-22VM,94549-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,11.45,24.18,12.73,242,48.36,11.45,24.18,48.36,24.18,1,1,0,1
91171-22VM,91171-22VM,MWS 1640024,MWS Random,Sportswear,Core,Grey,2021-09-18,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,91171-22VM/457,EMEA,91171-22,,9,Sportswear,Tops Woven,Women's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,91171-22VM,91171-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,27.48,77.43,749.25,343,154.86,412.2,1161.45,2322.9,1161.45,15,1,0,15
96785-22VM,96785-22VM,MWS 1924686,MWS Random,Sportswear,Seasonal,Green,2021-10-28,Oct,21 10,21 10,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,96785-22VM/882,APAC,96785-22,,10,Sportswear,Tops Woven,Men's,Jacket,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,96785-22VM,96785-22VM,Mechanic Shirt,Mechanic Shirt,Jacket,2021,28.72,64.93,398.31,285,129.86,315.92,714.23,1428.46,714.23,11,1,2,11
98431-22VM,98431-22VM,MWS 1253987,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Red,2021-04-11,Apr,21 04,21 04,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,98431-22VM/182,North America,98431-22,,4,Sportswear,Tops Woven,Men's,Cap,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,98431-22VM,98431-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,19.61,52.51,65.8,179,105.02,39.22,105.02,210.04,105.02,2,1,2,2
98352-22VM,98352-22VM,MWS 1301624,MWS Random,Sportswear,GMMC: Genuine Motorclothes,Green,2021-09-13,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,98352-22VM/934,North America,98352-22,,9,Sportswear,Tops Woven,Women's,T-Shirt,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,98352-22VM,98352-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,15.68,32.74,255.9,227,65.48,235.2,491.1,982.2,491.1,15,1,2,15
90300-22VM,90300-22VM,MWS 1669792,MWS Random,Sportswear,Core,Black,2021-09-18,Sep,21 09,21 09,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,90300-22VM/457,North America,90300-22,,9,Sportswear,Tops Woven,Unisex,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,90300-22VM,90300-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,20.39,43.28,389.13,157,86.56,346.63,735.76,1471.52,735.76,17,1,2,17
93820-22VM,93820-22VM,MWS 1015924,MWS Random,Sportswear,Core,Red,2021-08-24,Aug,21 08,21 08,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,93820-22VM/812,EMEA,93820-22,,8,Sportswear,Tops Woven,Women's,Cap,Asia Pacific,Asia Pacific,Seasonal,Asia Pacific Market,Asia Pacific Market,Mechanic Style,93820-22VM,93820-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,22.48,60.29,680.58,377,120.58,404.64,1085.22,2170.44,1085.22,18,1,3,18
95129-22VM,95129-22VM,MWS 1463851,MWS Random,Sportswear,Core,Black,2021-05-10,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,95129-22VM/849,APAC,95129-22,,5,Sportswear,Tops Woven,Men's,T-Shirt,USA,USA,Seasonal,USA Market,USA Market,Mechanic Style,95129-22VM,95129-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,17.07,44.56,274.9,118,89.12,170.7,445.6,891.2,445.6,10,1,0,10
91699-22VM,91699-22VM,MWS 1283194,MWS Random,Sportswear,Seasonal,Blue,2021-02-22,Feb,21 02,21 02,2021 Spring,2021 Spring,Tops Woven,Casual,Unisex,Unisex Regular,Global,91699-22VM/035,EMEA,91699-22,,2,Sportswear,Tops Woven,Unisex,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,91699-22VM,91699-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,19.59,56.55,110.88,136,113.1,58.77,169.65,339.3,169.65,3,1,1,3
99097-22VM,99097-22VM,MWS 1644915,MWS Random,Sportswear,Seasonal,Black,2021-05-24,May,21 05,21 05,2021 Spring,2021 Spring,Tops Woven,Casual,Women's,Women's Regular,Global,99097-22VM/089,APAC,99097-22,,5,Sportswear,Tops Woven,Women's,T-Shirt,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99097-22VM,99097-22VM,Mechanic Shirt,Mechanic Shirt,T-Shirt,2021,26.46,53.38,26.92,301,106.76,26.46,53.38,106.76,53.38,1,1,4,1
99916-22VM,99916-22VM,MWS 1139929,MWS Random,Sportswear,Seasonal,Blue,2021-06-16,Jun,21 06,21 06,2021 Spring,2021 Spring,Tops Woven,Casual,Men's,Men's Regular,Global,99916-22VM/459,APAC,99916-22,,6,Sportswear,Tops Woven,Men's,Cap,Europe,Europe,Seasonal,Europe Market,Europe Market,Mechanic Style,99916-22VM,99916-22VM,Mechanic Shirt,Mechanic Shirt,Cap,2021,20.01,43.11,392.7,224,86.22,340.17,732.87,1465.74,732.87,17,1,0,17
